,hate_words
0,Fuck
1,Bitch
2,Randi
3,MadarChod
4,Bhenchod
5,Bc
6,Mc
7,BC
8,MC
9,Chutiya
10,chu 
11,shit
12,Land
13,nigga
14,niggi
15,fucking
16,fucked
17,hate 
18,pussy
19,ass
20,bitches 
21,black
22,kala
23,kidnapped
24,kill
25,destroy
26,dick
27,hoes
28,drugs
29,lick
30,drunk
31,nasha
32,nashedi
33,pornhub
34,suck
35,sexy
36,sexist
37,offensive
38,racist
39,ugly
40,dirty
41,stupid
42,harassment
43,abuse
44,asshole
45,piss off
46,bloody hell
47,bastard
48,motherfucker
49,wanker
50,idiot
51,dork
52,fuckface
53,scumbag
54,nunni
55,naughty
56,cock
57,titties
58,boner
59,muff
60,nigger
61,holy shit
62,turd
63,bullshit
64,cunt
65,cocksucker
66,crap
67,dickhead
68,damn
69,dyke
70,frigger
71,fingerring
72,horseshit
73,nigra
74,slut
75,sex
76,bellend
77,butt
78,vagina
79,poop
80,aand
81,bakchod
82,bakchodi
83,bewda
84,pimp
85,bhadwa
86,bhosada
87,boob
88,nipple
89,chooche
90,chutiya
91,haramzada
92,jhat
93,lawda
94,prostitute
95,penis
96,lulli
97,boobs
98,pee
99,masturbate
100,nunni
101,rand
102,tatte
103,lmao
104,porn
105,niggas
106,darkskin
